Orthogroup	UP000321408	UP000324665	Total
OG0000000	3	35	38
OG0000001	0	30	30
OG0000002	23	1	24
OG0000003	23	0	23
OG0000004	15	0	15
OG0000005	12	0	12
OG0000006	1	11	12
OG0000007	11	0	11
OG0000008	10	1	11
OG0000009	10	1	11
OG0000010	2	9	11
OG0000011	1	10	11
OG0000012	9	0	9
OG0000013	9	0	9
OG0000014	8	1	9
OG0000015	2	7	9
OG0000016	8	0	8
OG0000017	8	0	8
OG0000018	7	1	8
OG0000019	8	0	8
OG0000020	7	1	8
OG0000021	8	0	8
OG0000022	8	0	8
OG0000023	7	1	8
OG0000024	0	8	8
OG0000025	7	0	7
OG0000026	7	0	7
OG0000027	7	0	7
OG0000028	2	5	7
OG0000029	1	6	7
OG0000030	2	5	7
OG0000031	4	3	7
OG0000032	3	4	7
OG0000033	7	0	7
OG0000034	6	1	7
OG0000035	7	0	7
OG0000036	2	5	7
OG0000037	3	4	7
OG0000038	0	7	7
OG0000039	0	7	7
OG0000040	6	0	6
OG0000041	6	0	6
OG0000042	5	1	6
OG0000043	5	1	6
OG0000044	5	1	6
OG0000045	6	0	6
OG0000046	6	0	6
OG0000047	6	0	6
OG0000048	4	2	6
OG0000049	1	5	6
OG0000050	3	3	6
OG0000051	6	0	6
OG0000052	1	5	6
OG0000053	1	5	6
OG0000054	5	1	6
OG0000055	1	5	6
OG0000056	2	4	6
OG0000057	3	3	6
OG0000058	3	3	6
OG0000059	6	0	6
OG0000060	1	5	6
OG0000061	2	4	6
OG0000062	6	0	6
OG0000063	1	5	6
OG0000064	2	4	6
OG0000065	6	0	6
OG0000066	4	2	6
OG0000067	0	6	6
OG0000068	0	6	6
OG0000069	0	6	6
OG0000070	1	4	5
OG0000071	5	0	5
OG0000072	5	0	5
OG0000073	5	0	5
OG0000074	1	4	5
OG0000075	5	0	5
OG0000076	2	3	5
OG0000077	5	0	5
OG0000078	1	4	5
OG0000079	2	3	5
OG0000080	2	3	5
OG0000081	4	1	5
OG0000082	5	0	5
OG0000083	1	4	5
OG0000084	5	0	5
OG0000085	5	0	5
OG0000086	1	4	5
OG0000087	5	0	5
OG0000088	5	0	5
OG0000089	2	3	5
OG0000090	5	0	5
OG0000091	5	0	5
OG0000092	2	3	5
OG0000093	1	4	5
OG0000094	3	2	5
OG0000095	2	3	5
OG0000096	2	3	5
OG0000097	2	3	5
OG0000098	3	2	5
OG0000099	2	3	5
OG0000100	2	3	5
OG0000101	2	3	5
OG0000102	5	0	5
OG0000103	2	3	5
OG0000104	5	0	5
OG0000105	1	4	5
OG0000106	1	4	5
OG0000107	4	1	5
OG0000108	1	4	5
OG0000109	2	3	5
OG0000110	4	1	5
OG0000111	2	3	5
OG0000112	1	4	5
OG0000113	1	4	5
OG0000114	0	5	5
OG0000115	0	5	5
OG0000116	0	5	5
OG0000117	0	5	5
OG0000118	0	5	5
OG0000119	0	5	5
OG0000120	0	5	5
OG0000121	0	5	5
OG0000122	2	2	4
OG0000123	3	1	4
OG0000124	3	1	4
OG0000125	3	1	4
OG0000126	1	3	4
OG0000127	3	1	4
OG0000128	3	1	4
OG0000129	4	0	4
OG0000130	3	1	4
OG0000131	4	0	4
OG0000132	4	0	4
OG0000133	3	1	4
OG0000134	4	0	4
OG0000135	2	2	4
OG0000136	4	0	4
OG0000137	4	0	4
OG0000138	2	2	4
OG0000139	3	1	4
OG0000140	4	0	4
OG0000141	3	1	4
OG0000142	4	0	4
OG0000143	4	0	4
OG0000144	4	0	4
OG0000145	1	3	4
OG0000146	4	0	4
OG0000147	4	0	4
OG0000148	4	0	4
OG0000149	3	1	4
OG0000150	3	1	4
OG0000151	2	2	4
OG0000152	3	1	4
OG0000153	4	0	4
OG0000154	3	1	4
OG0000155	1	3	4
OG0000156	3	1	4
OG0000157	2	2	4
OG0000158	3	1	4
OG0000159	2	2	4
OG0000160	3	1	4
OG0000161	3	1	4
OG0000162	4	0	4
OG0000163	3	1	4
OG0000164	2	2	4
OG0000165	1	3	4
OG0000166	4	0	4
OG0000167	3	1	4
OG0000168	2	2	4
OG0000169	4	0	4
OG0000170	4	0	4
OG0000171	3	1	4
OG0000172	1	3	4
OG0000173	1	3	4
OG0000174	1	3	4
OG0000175	1	3	4
OG0000176	2	2	4
OG0000177	3	1	4
OG0000178	4	0	4
OG0000179	1	3	4
OG0000180	2	2	4
OG0000181	3	1	4
OG0000182	1	3	4
OG0000183	1	3	4
OG0000184	1	3	4
OG0000185	1	3	4
OG0000186	1	3	4
OG0000187	2	2	4
OG0000188	3	1	4
OG0000189	1	3	4
OG0000190	1	3	4
OG0000191	2	2	4
OG0000192	2	2	4
OG0000193	4	0	4
OG0000194	2	2	4
OG0000195	3	1	4
OG0000196	1	3	4
OG0000197	1	3	4
OG0000198	2	2	4
OG0000199	1	3	4
OG0000200	1	3	4
OG0000201	3	1	4
OG0000202	1	3	4
OG0000203	1	3	4
OG0000204	1	3	4
OG0000205	1	3	4
OG0000206	4	0	4
OG0000207	1	3	4
OG0000208	1	3	4
OG0000209	1	3	4
OG0000210	2	2	4
OG0000211	4	0	4
OG0000212	1	3	4
OG0000213	0	4	4
OG0000214	0	4	4
OG0000215	0	4	4
OG0000216	0	4	4
OG0000217	0	4	4
OG0000218	0	4	4
OG0000219	3	0	3
OG0000220	1	2	3
OG0000221	1	2	3
OG0000222	2	1	3
OG0000223	1	2	3
OG0000224	3	0	3
OG0000225	2	1	3
OG0000226	3	0	3
OG0000227	2	1	3
OG0000228	3	0	3
OG0000229	2	1	3
OG0000230	2	1	3
OG0000231	1	2	3
OG0000232	3	0	3
OG0000233	2	1	3
OG0000234	1	2	3
OG0000235	3	0	3
OG0000236	2	1	3
OG0000237	3	0	3
OG0000238	1	2	3
OG0000239	3	0	3
OG0000240	1	2	3
OG0000241	1	2	3
OG0000242	2	1	3
OG0000243	3	0	3
OG0000244	1	2	3
OG0000245	1	2	3
OG0000246	2	1	3
OG0000247	3	0	3
OG0000248	1	2	3
OG0000249	2	1	3
OG0000250	2	1	3
OG0000251	3	0	3
OG0000252	2	1	3
OG0000253	1	2	3
OG0000254	3	0	3
OG0000255	1	2	3
OG0000256	2	1	3
OG0000257	3	0	3
OG0000258	3	0	3
OG0000259	3	0	3
OG0000260	2	1	3
OG0000261	1	2	3
OG0000262	2	1	3
OG0000263	1	2	3
OG0000264	3	0	3
OG0000265	1	2	3
