,Kingdom,Clade
I3213,2,1783272
I2844,2,1783272
I3315,2,1783272
I4073,2,1224
I3596,2,1783272
I3459,2,1783272
I3756,2,1783272
I2770,2,1783272
I3489,2,1224
I1206,2,1783272
I3926,2,1783272
I2024,2,1783272
I756,2,1783272
I1491,2,1224
I3642,2,1783272
I2050,2,1783272
I164,2,1224
I610,2,1224
I1120,2,1783272
I205,2,1224
I2824,2,1783272
I2136,2,1783272
I256,2,1783272
I3008,2,1224
I3780,2,1783272
I518,2,1224
I1760,2,1783272
I210,2,1224
I725,2,1224
I2201,2,1224
I1285,2,508458
I3766,2,1783272
I3888,2,1783272
I3791,2,1224
I225,2,1224
I206,2,1224
I785,2,1224
I2250,2,1783272
I2928,2,1783272
I1250,2,1783272
I2819,2,1783272
I2675,2,203691
I3712,2,1224
I333,2,1224
I124,2,1224
I2759,2,1783272
I3437,2,29547
I274,2,1224
I1022,2,1783272
I185,2,1783272
I269,2,1224
I2152,2,1783272
I546,2,1224
I3341,2,1224
I2676,2,203691
I4039,2,1224
I184,2,1783272
I2626,2,1783272
I1090,2,1224
I1645,2,1783272
I3443,2,1783272
I273,2,1224
I2172,2,1224
I1620,2,1224
I3958,2,1783272
I3543,2,1783272
I2341,2,1783272
I674,2,1224
I218,2,1224
I1863,2,1783270
I926,2,1783272
I1061,2,1783270
I2407,2,1783272
I2086,2,32066
I2953,2,1783272
I175,2,1224
I1032,2,1783272
I1329,2,1783272
I3675,2,1783272
I481,2,1783272
I1689,2,1783270
I1509,2,1783272
I1609,2,1783272
I2370,2,1783272
I2531,2,1783272
I2591,2,1224
I3062,2,1783272
I3564,2,1783272
I3915,2,1224
I2957,2,1783272
I2555,2,1783272
I830,2,1224
I669,2,1783272
I3010,2,1224
I3337,2,1224
I422,2,1224
I2521,2,1783272
I490,2,1783272
I532,2,1224
I3738,2,1783272
I1114,2,1783272
I3196,2,1224
I1649,2,1783272
I2192,2,1224
I2237,2,1783272
I2325,2,1783272
I1109,2,29547
I4005,2,1224
I4026,2,1224
I419,2,1224
I2180,2,1783272
I3342,2,1224
I2216,2,1783272
I3535,2,1783270
I3522,2,1783272
I1906,2,1783272
I895,2,1224
I1142,2,1783272
I758,2,1224
I1897,2,200940
I291,2,1224
I1676,2,1783272
I2537,2,1783272
I153,2,1224
I2662,2,1783272
I1370,2,1783272
I2182,2,1224
I1055,2,1783270
I3263,2,1783272
I833,2,29547
I585,2,1224
I1594,2,1783272
I827,2,1783272
I2671,2,1783270
I2283,2,32066
I3677,2,1783272
I2064,2,1783270
I214,2,1224
I3250,2,1783270
I3950,2,1783272
I3289,2,1783272
I2072,2,200940
I2242,2,1783272
I464,2,1224
I2353,2,1783272
I1812,2,1224
I3644,2,1783272
I1292,2,1224
I3638,2,1783272
I2787,2,1224
I1454,2,1783272
I237,2,1783270
I3240,2,1783270
I3967,2,1224
I991,2,1224
I718,2,1224
I2598,2,1224
I1097,2,1783272
I1688,2,1783270
I999,2,1783272
I1012,2,29547
I150,2,1224
I1178,2,1224
I1354,2,1783272
I2468,2,203691
I765,2,1224
I3066,2,1783272
I2990,2,1783272
I2767,2,1783272
I3689,2,1783272
I2778,2,1783272
I3323,2,1783272
I279,2,1224
I2479,2,32066
