Orthogroup	UP000070043	UP000070149	UP000070599	UP000185561	UP000186063	UP000186209	UP000186239	UP000186851	UP000228988	UP000245584	UP000265899	UP000266048	UP000266374	UP000274362	UP000279561	UP000315391	UP000315475	UP000315741	UP000315921	UP000317027	UP000317179	UP000317346	UP000317403	UP000317466	UP000317680	UP000318115	UP000318839	UP000318994	UP000319007	UP000319077	UP000319869	UP000319889	UP000320434	UP000320621	UP000320670	UP000320844	UP000320864	UP000321408	UP000322103	UP000322882	UP000323018	UP000324665	UP000538462	UP000556275	UP000610226	UP000619436	UP000621573	UP000625964	UP000634061	UP000645858	UP000678182	UP000696993	UP000700897	UP000706067	UP000721749	UP000723406	UP000729503	UP000738095	UP000751408	UP000760201	UP000771954	UP000775429	UP000777023	UP000825566	UP000825906	UP000826397	UP000826686	UP000826833
OG0010538	KXH69841.1																																																																			
OG0010539	KXH69845.1																																																																			
OG0010540	KXH69846.1																																																																			
OG0010541	KXH69848.1																																																																			
OG0010542	KXH69859.1																																																																			
OG0010543	KXH69864.1																																																																			
OG0010544	KXH69999.1																																																																			
OG0010545	KXH70005.1																																																																			
OG0010546	KXH70006.1																																																																			
OG0010547	KXH70007.1																																																																			
OG0010548	KXH70010.1																																																																			
OG0010549	KXH70017.1																																																																			
OG0010550	KXH70019.1																																																																			
OG0010551	KXH70041.1																																																																			
OG0010552	KXH70430.1																																																																			
OG0010553	KXH70494.1																																																																			
OG0010554	KXH70495.1																																																																			
OG0010555	KXH70499.1																																																																			
OG0010556	KXH70530.1																																																																			
OG0010557	KXH70642.1																																																																			
OG0010558	KXH70645.1																																																																			
OG0010559	KXH70647.1																																																																			
OG0010560	KXH70658.1																																																																			
OG0010561	KXH70663.1																																																																			
OG0010562	KXH70665.1																																																																			
OG0010563	KXH70740.1																																																																			
OG0010564	KXH70870.1																																																																			
OG0010565	KXH71023.1																																																																			
OG0010566	KXH71024.1																																																																			
OG0010567	KXH71532.1																																																																			
OG0010568	KXH71813.1																																																																			
OG0010569	KXH72123.1																																																																			
OG0010570	KXH72346.1																																																																			
OG0010571	KXH72489.1																																																																			
OG0010572	KXH72747.1																																																																			
OG0010573	KXH72789.1																																																																			
OG0010574	KXH72790.1																																																																			
OG0010575	KXH72791.1																																																																			
OG0010576	KXH72792.1																																																																			
OG0010577	KXH72924.1																																																																			
OG0010578	KXH72930.1																																																																			
OG0010579	KXH73197.1																																																																			
OG0010580	KXH73362.1																																																																			
OG0010581	KXH73742.1																																																																			
OG0010582	KXH73938.1																																																																			
OG0010583	KXH74274.1																																																																			
OG0010584	KXH74319.1																																																																			
OG0010585	KXH74785.1																																																																			
OG0010586	KXH74786.1																																																																			
OG0010587	KXH75016.1																																																																			
OG0010588	KXH75364.1																																																																			
OG0010589	KXH75368.1																																																																			
OG0010590	KXH75454.1																																																																			
OG0010591	KXH75518.1																																																																			
OG0010592	KXH75737.1																																																																			
OG0010593	KXH75869.1																																																																			
OG0010594	KXH75897.1																																																																			
OG0010595	KXH75898.1																																																																			
OG0010596	KXH75899.1																																																																			
OG0010597	KXH75900.1																																																																			
OG0010598	KXH75959.1																																																																			
OG0010599	KXH76002.1																																																																			
OG0010600	KXH76003.1																																																																			
OG0010601	KXH76100.1																																																																			
OG0010602	KXH76143.1																																																																			
OG0010603	KXH76232.1																																																																			
OG0010604	KXH76285.1																																																																			
OG0010605	KXH76287.1																																																																			
OG0010606	KXH76330.1																																																																			
OG0010607	KXH76395.1																																																																			
OG0010608	KXH76521.1																																																																			
OG0010609	KXH76524.1																																																																			
OG0010610	KXH76527.1																																																																			
OG0010611	KXH76528.1																																																																			
OG0010612	KXH76529.1																																																																			
OG0010613	KXH76530.1																																																																			
OG0010614	KXH76532.1																																																																			
OG0010615	KXH76555.1																																																																			
OG0010616	KXH76785.1																																																																			
OG0010617	KXH76786.1																																																																			
OG0010618	KXH76817.1																																																																			
OG0010619	KXH76972.1																																																																			
OG0010620	KXH77073.1																																																																			
OG0010621	KXH77209.1																																																																			
OG0010622	KXH77210.1																																																																			
OG0010623	KXH77222.1																																																																			
OG0010624	KXH77246.1																																																																			
OG0010625	KXH77247.1																																																																			
OG0010626	KXH77359.1																																																																			
OG0010627	KXH77374.1																																																																			
OG0010628	KXH77449.1																																																																			
OG0010629	KXH77478.1																																																																			
OG0010630	KXH77481.1																																																																			
OG0010631	KXH77485.1																																																																			
OG0010632	KXH77490.1																																																																			
OG0010633	KXH77495.1																																																																			
OG0010634	KXH77498.1																																																																			
OG0010635	KXH77500.1																																																																			
OG0010636	KXH77504.1																																																																			
OG0010637	KXH77506.1																																																																			
OG0010638	KXH77508.1																																																																			
OG0010639	KXH77615.1																																																																			
OG0010640	KXH77616.1																																																																			
OG0010641	KXH77617.1																																																																			
OG0010642	KXH77626.1																																																																			
OG0010643	KXH77627.1																																																																			
OG0010644	KXH77628.1																																																																			
OG0010645	KXH77629.1																																																																			
OG0010646	KXH77630.1																																																																			
OG0010647	KXH77632.1																																																																			
OG0010648	KXH77663.1																																																																			
OG0010649	KXH77664.1																																																																			
OG0010650	KXH77666.1																																																																			
OG0010651	KXH77744.1																																																																			
OG0010652	KXH77750.1																																																																			
OG0010653	KXH77752.1																																																																			
OG0010654	KXH77753.1																																																																			
OG0010655	KXH77761.1																																																																			
OG0010656	KXH77762.1																																																																			
OG0010657	KXH77763.1																																																																			
OG0010658	KXH77765.1																																																																			
OG0010659	KXH77769.1																																																																			
OG0010660	KXH77773.1																																																																			
OG0010661	KXH77821.1																																																																			
OG0010662	KXH77822.1																																																																			
OG0010663	KXH77825.1																																																																			
OG0010664	KXH77847.1																																																																			
OG0010665	KXH77871.1																																																																			
OG0010666	KXH77898.1																																																																			
OG0010667	KXH77928.1																																																																			
OG0010668	KXH77932.1																																																																			
OG0010669	KXH77961.1																																																																			
OG0010670	KXH78002.1																																																																			
OG0010671	KXH78012.1																																																																			
OG0010672	KXH78023.1																																																																			
OG0010673	KXH78029.1																																																																			
OG0010674	KXH78071.1																																																																			
OG0010675	KXH78073.1																																																																			
OG0010676	KXH78083.1																																																																			
OG0010677	KXH78119.1																																																																			
OG0010678		KXH70247.1																																																																		
OG0010679		KXH70375.1																																																																		
OG0010680		KXH70471.1																																																																		
OG0010681		KXH70472.1																																																																		
OG0010682		KXH70598.1																																																																		
OG0010683		KXH70600.1																																																																		
OG0010684		KXH70768.1																																																																		
OG0010685		KXH70792.1																																																																		
OG0010686		KXH70814.1																																																																		
OG0010687		KXH70857.1																																																																		
OG0010688		KXH70995.1																																																																		
OG0010689		KXH71001.1																																																																		
OG0010690		KXH71126.1																																																																		
OG0010691		KXH71325.1																																																																		
OG0010692		KXH71362.1																																																																		
OG0010693		KXH71386.1																																																																		
OG0010694		KXH71766.1																																																																		
OG0010695		KXH71797.1																																																																		
OG0010696		KXH71827.1																																																																		
OG0010697		KXH72088.1																																																																		
OG0010698		KXH72190.1																																																																		
OG0010699		KXH72201.1																																																																		
OG0010700		KXH72365.1																																																																		
OG0010701		KXH72970.1																																																																		
OG0010702		KXH73014.1																																																																		
OG0010703		KXH73016.1																																																																		
OG0010704		KXH73031.1																																																																		
OG0010705		KXH73064.1																																																																		
OG0010706		KXH73101.1																																																																		
OG0010707		KXH73102.1																																																																		
OG0010708		KXH73103.1																																																																		
OG0010709		KXH73104.1																																																																		
OG0010710		KXH73105.1																																																																		
OG0010711		KXH73106.1																																																																		
OG0010712		KXH73107.1																																																																		
OG0010713		KXH73108.1																																																																		
OG0010714		KXH73109.1																																																																		
OG0010715		KXH73110.1																																																																		
OG0010716		KXH73111.1																																																																		
OG0010717		KXH73112.1																																																																		
OG0010718		KXH73562.1																																																																		
OG0010719		KXH73754.1																																																																		
OG0010720		KXH74093.1																																																																		
OG0010721		KXH74133.1																																																																		
OG0010722		KXH74351.1																																																																		
OG0010723		KXH74352.1																																																																		
OG0010724		KXH74353.1																																																																		
OG0010725		KXH74354.1																																																																		
OG0010726		KXH74664.1																																																																		
OG0010727		KXH74666.1																																																																		
OG0010728		KXH74675.1																																																																		
OG0010729		KXH74676.1																																																																		
OG0010730		KXH74769.1																																																																		
OG0010731		KXH74772.1																																																																		
OG0010732		KXH74774.1																																																																		
OG0010733		KXH74859.1																																																																		
OG0010734		KXH74861.1																																																																		
OG0010735		KXH74985.1																																																																		
OG0010736		KXH74986.1																																																																		
OG0010737		KXH74989.1																																																																		
OG0010738		KXH74991.1																																																																		
OG0010739		KXH74993.1																																																																		
OG0010740		KXH75316.1																																																																		
OG0010741		KXH75426.1																																																																		
OG0010742		KXH75428.1																																																																		
OG0010743			KXH69707.1																																																																	
OG0010744			KXH69708.1																																																																	
OG0010745			KXH69709.1																																																																	
OG0010746			KXH69778.1																																																																	
OG0010747			KXH69779.1																																																																	
OG0010748			KXH69780.1																																																																	
OG0010749			KXH69781.1																																																																	
OG0010750			KXH69782.1																																																																	
OG0010751			KXH69783.1																																																																	
OG0010752			KXH69784.1																																																																	
OG0010753			KXH69785.1																																																																	
OG0010754			KXH69786.1																																																																	
OG0010755			KXH69787.1																																																																	
OG0010756			KXH69789.1																																																																	
OG0010757			KXH69790.1																																																																	
OG0010758			KXH69791.1																																																																	
OG0010759			KXH69792.1																																																																	
OG0010760			KXH69794.1																																																																	
OG0010761			KXH69795.1																																																																	
OG0010762			KXH69797.1																																																																	
OG0010763			KXH69798.1																																																																	
OG0010764			KXH69802.1																																																																	
OG0010765			KXH69805.1																																																																	
OG0010766			KXH69807.1																																																																	
OG0010767			KXH69810.1																																																																	
OG0010768			KXH69811.1																																																																	
OG0010769			KXH69816.1																																																																	
OG0010770			KXH69817.1																																																																	
OG0010771			KXH69819.1																																																																	
OG0010772			KXH69820.1																																																																	
OG0010773			KXH69821.1																																																																	
OG0010774			KXH69822.1																																																																	
OG0010775			KXH69824.1																																																																	
OG0010776			KXH69825.1																																																																	
OG0010777			KXH69826.1																																																																	
OG0010778			KXH69827.1																																																																	
OG0010779			KXH69828.1																																																																	
OG0010780			KXH69830.1																																																																	
OG0010781			KXH69831.1																																																																	
OG0010782			KXH69832.1																																																																	
OG0010783			KXH69833.1																																																																	
OG0010784			KXH69834.1																																																																	
OG0010785			KXH69835.1																																																																	
OG0010786			KXH69836.1																																																																	
OG0010787			KXH69837.1																																																																	
OG0010788			KXH69838.1																																																																	
OG0010789			KXH69839.1																																																																	
OG0010790			KXH69924.1																																																																	
OG0010791			KXH69926.1																																																																	
OG0010792			KXH69927.1																																																																	
OG0010793			KXH70042.1																																																																	
OG0010794			KXH70043.1																																																																	
OG0010795			KXH70044.1																																																																	
OG0010796			KXH70045.1																																																																	
OG0010797			KXH70046.1																																																																	
OG0010798			KXH70100.1																																																																	
OG0010799			KXH70102.1																																																																	
OG0010800			KXH70474.1																																																																	
OG0010801			KXH70610.1																																																																	
OG0010802			KXH70612.1																																																																	
OG0010803			KXH70614.1																																																																	
OG0010804			KXH71202.1																																																																	
OG0010805			KXH71235.1																																																																	
OG0010806			KXH72007.1																																																																	
OG0010807			KXH72073.1																																																																	
OG0010808			KXH72435.1																																																																	
OG0010809			KXH72775.1																																																																	
OG0010810			KXH72776.1																																																																	
OG0010811			KXH72777.1																																																																	
OG0010812			KXH72778.1																																																																	
OG0010813			KXH72795.1																																																																	
OG0010814			KXH72796.1																																																																	
OG0010815			KXH72797.1																																																																	
OG0010816			KXH72798.1																																																																	
OG0010817			KXH72799.1																																																																	
OG0010818			KXH72800.1																																																																	
OG0010819			KXH72801.1																																																																	
OG0010820			KXH72802.1																																																																	
OG0010821			KXH72803.1																																																																	
OG0010822			KXH72900.1																																																																	
OG0010823			KXH74417.1																																																																	
OG0010824			KXH74418.1																																																																	
OG0010825			KXH74419.1																																																																	
OG0010826			KXH74421.1																																																																	
OG0010827			KXH74423.1																																																																	
OG0010828			KXH74427.1																																																																	
OG0010829			KXH74428.1																																																																	
OG0010830			KXH74430.1																																																																	
OG0010831			KXH74433.1																																																																	
OG0010832			KXH74434.1																																																																	
OG0010833			KXH74436.1																																																																	
OG0010834			KXH74444.1																																																																	
OG0010835			KXH74455.1																																																																	
OG0010836			KXH74528.1																																																																	
OG0010837			KXH74529.1																																																																	
OG0010838			KXH74530.1																																																																	
OG0010839			KXH74531.1																																																																	
OG0010840			KXH74533.1																																																																	
OG0010841			KXH74535.1																																																																	
OG0010842			KXH74536.1																																																																	
OG0010843			KXH74551.1																																																																	
OG0010844			KXH75037.1																																																																	
OG0010845			KXH75038.1																																																																	
OG0010846			KXH75039.1																																																																	
OG0010847			KXH75040.1																																																																	
OG0010848			KXH75041.1																																																																	
OG0010849			KXH75044.1																																																																	
OG0010850			KXH75045.1																																																																	
OG0010851			KXH75302.1																																																																	
