## Tue May 28 12:57:38 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_3r9xo__v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_3r9xo__v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_3r9xo__v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
OG0000001.UP000324665_TXT53760.1	903818.KI912268_gene1513	5e-41	161.0	COG0784@1|root,COG2203@1|root,COG4191@1|root,COG0784@2|Bacteria,COG2203@2|Bacteria,COG4191@2|Bacteria	2|Bacteria	T	Histidine kinase	-	-	-	ko:K17763	-	-	-	-	ko00000,ko03021	-	-	-	GAF,GAF_2,GGDEF,HATPase_c,HisKA,PAS,PAS_3,PAS_4,PAS_9,Response_reg,STAS
OG0000010.UP000321408_QEE14878.1	1238184.CM001792_gene3012	2.02e-43	173.0	COG1404@1|root,COG1404@2|Bacteria,1TQRU@1239|Firmicutes,4HAZA@91061|Bacilli,23JB4@182709|Oceanobacillus	91061|Bacilli	O	Subtilase family	-	-	-	ko:K17734	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_S8
OG0000013.UP000321408_QEE14240.1	203119.Cthe_2822	4.02e-118	350.0	COG0673@1|root,COG0673@2|Bacteria,1TPT5@1239|Firmicutes,248MV@186801|Clostridia,3WI38@541000|Ruminococcaceae	186801|Clostridia	S	domain protein	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
OG0000015.UP000321408_QEE16133.1	33169.AAS51230	4.61e-38	136.0	KOG0394@1|root,KOG0394@2759|Eukaryota,38C61@33154|Opisthokonta,3NWMV@4751|Fungi,3QKEZ@4890|Ascomycota,3RSFU@4891|Saccharomycetes,3RYBT@4893|Saccharomycetaceae	4751|Fungi	U	to Saccharomyces cerevisiae YPT7 (YML001W)	-	GO:0000011,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005773,GO:0005774,GO:0006810,GO:0006873,GO:0006885,GO:0006886,GO:0006892,GO:0006896,GO:0006897,GO:0006914,GO:0006996,GO:0007033,GO:0007034,GO:0007035,GO:0007154,GO:0007165,GO:0007264,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0010638,GO:0010639,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016192,GO:0016197,GO:0016236,GO:0016237,GO:0016462,GO:0016482,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019725,GO:0019867,GO:0023052,GO:0030003,GO:0030004,GO:0030641,GO:0031090,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032258,GO:0032889,GO:0033036,GO:0033043,GO:0033365,GO:0034613,GO:0034727,GO:0035556,GO:0042144,GO:0042147,GO:0042592,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044088,GO:0044090,GO:0044232,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044429,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044804,GO:0045184,GO:0045851,GO:0046907,GO:0048193,GO:0048284,GO:0048308,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051128,GO:0051129,GO:0051130,GO:0051179,GO:0051234,GO:0051452,GO:0051453,GO:0051641,GO:0051649,GO:0051716,GO:0055067,GO:0055080,GO:0055082,GO:0061024,GO:0061025,GO:0061191,GO:0061192,GO:0061919,GO:0065007,GO:0065008,GO:0070727,GO:0071702,GO:0071705,GO:0071840,GO:0072665,GO:0097576,GO:0098588,GO:0098657,GO:0098771,GO:0098805,GO:0098852,GO:1990816	-	ko:K07897	ko04137,ko04138,ko04140,ko04144,ko04145,ko05132,ko05146,ko05152,map04137,map04138,map04140,map04144,map04145,map05132,map05146,map05152	-	-	-	ko00000,ko00001,ko04031,ko04131,ko04147	-	-	-	Ras
OG0000016.UP000321408_QEE14342.1	246197.MXAN_1633	1.97e-63	202.0	COG1670@1|root,COG1670@2|Bacteria,1RKT9@1224|Proteobacteria,42VCK@68525|delta/epsilon subdivisions,2WS7R@28221|Deltaproteobacteria,2Z14V@29|Myxococcales	28221|Deltaproteobacteria	J	Acetyltransferase (GNAT) domain	rimJ2	-	-	ko:K03817	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_3
OG0000027.UP000321408_QEE14397.1	536019.Mesop_4056	7.24e-39	141.0	COG2020@1|root,COG2020@2|Bacteria,1RDC4@1224|Proteobacteria,2TUXA@28211|Alphaproteobacteria	28211|Alphaproteobacteria	O	Isoprenylcysteine carboxyl methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	PEMT
OG0000028.UP000321408_QEE14524.1	224325.AF_2281	1.06e-274	771.0	COG2414@1|root,arCOG00706@2157|Archaea,2XTUP@28890|Euryarchaeota,245XW@183980|Archaeoglobi	183980|Archaeoglobi	C	Aldehyde ferredoxin oxidoreductase	-	-	1.2.7.5	ko:K03738	ko00030,ko01100,ko01120,ko01200,map00030,map01100,map01120,map01200	M00309	R08571	RC00242	ko00000,ko00001,ko00002,ko01000	-	-	-	AFOR_C,AFOR_N
OG0000029.UP000321408_QEE14770.1	589924.Ferp_1389	2.42e-116	346.0	COG1405@1|root,arCOG01981@2157|Archaea,2XT0Z@28890|Euryarchaeota,246R1@183980|Archaeoglobi	183980|Archaeoglobi	K	Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB)	tfb	-	-	ko:K03124	ko03022,ko05169,ko05203,map03022,map05169,map05203	-	-	-	ko00000,ko00001,ko03021	-	-	-	TFIIB,TF_Zn_Ribbon
OG0000030.UP000321408_QEE14784.1	671065.MetMK1DRAFT_00020990	1.65e-35	131.0	COG0456@1|root,arCOG00833@2157|Archaea,2XQJH@28889|Crenarchaeota	28889|Crenarchaeota	S	TIGRFAM ribosomal-protein-alanine acetyltransferase	-	GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0031248,GO:0031365,GO:0032991,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0051604,GO:0071704,GO:1901564,GO:1902493,GO:1902494,GO:1990234	2.3.1.128	ko:K03789	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_1
OG0000031.UP000321408_QEE14842.1	591157.SSLG_01234	1e-13	77.4	COG0524@1|root,COG0524@2|Bacteria,2I04R@201174|Actinobacteria	201174|Actinobacteria	G	Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway	rbsK	-	2.7.1.15	ko:K00852	ko00030,map00030	-	R01051,R02750	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PfkB
