## Mon Dec  5 20:47:01 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jbrjl6fg --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jbrjl6fg --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_jbrjl6fg/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
OG0000000.UP000070043_KXH69883.1	2850.Phatr51727	5e-39	139.0	KOG0084@1|root,KOG0084@2759|Eukaryota,2XFBC@2836|Bacillariophyta	2836|Bacillariophyta	U	Ras of Complex, Roc, domain of DAPkinase	-	-	-	ko:K07874	ko05134,map05134	-	-	-	ko00000,ko00001,ko04031,ko04131,ko04147	-	-	-	Ras
OG0000001.UP000070043_KXH70011.1	1219084.AP014508_gene646	2.01e-76	237.0	COG1136@1|root,COG1136@2|Bacteria,2GCNV@200918|Thermotogae	200918|Thermotogae	P	PFAM ABC transporter	-	-	-	ko:K02003,ko:K02004	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
OG0000003.UP000070043_KXH69724.1	269797.Mbar_A3370	1.68e-64	212.0	COG1131@1|root,arCOG00194@2157|Archaea,2XT0T@28890|Euryarchaeota,2NAHY@224756|Methanomicrobia	224756|Methanomicrobia	V	ATPases associated with a variety of cellular activities	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran,DUF4162
OG0000005.UP000070043_KXH70652.1	1341151.ASZU01000004_gene113	7.24e-92	277.0	COG1028@1|root,COG1028@2|Bacteria,1TP76@1239|Firmicutes,4HAA6@91061|Bacilli,27BBK@186824|Thermoactinomycetaceae	91061|Bacilli	IQ	KR domain	fabG	GO:0000166,GO:0003674,GO:0003824,GO:0004312,GO:0004316,GO:0005488,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0030497,GO:0032787,GO:0036094,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0072330,GO:0097159,GO:1901265,GO:1901363,GO:1901576	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	iYO844.BSU15910	adh_short_C2
OG0000006.UP000070043_KXH69729.1	555079.Toce_0383	1.82e-149	453.0	COG2414@1|root,COG2414@2|Bacteria,1TPT9@1239|Firmicutes,2481Q@186801|Clostridia,42ERP@68295|Thermoanaerobacterales	186801|Clostridia	C	Aldehyde ferredoxin oxidoreductase	-	-	1.2.7.5	ko:K03738	ko00030,ko01100,ko01120,ko01200,map00030,map01100,map01120,map01200	M00309	R08571	RC00242	ko00000,ko00001,ko00002,ko01000	-	-	-	AFOR_C,AFOR_N
OG0000008.UP000070043_KXH69892.1	485916.Dtox_1277	1.68e-271	798.0	COG1148@1|root,COG1148@2|Bacteria,1V5YJ@1239|Firmicutes,248CC@186801|Clostridia,260ZH@186807|Peptococcaceae	186801|Clostridia	C	binding domain	-	-	1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6	ko:K03388	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04540,R11928,R11931,R11943,R11944	RC00011	ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4,Fer4_9,NAD_binding_8,Pyr_redox_2
OG0000009.UP000070043_KXH69849.1	909663.KI867150_gene971	8.1e-214	603.0	COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,42M03@68525|delta/epsilon subdivisions,2X1VS@28221|Deltaproteobacteria,2MRES@213462|Syntrophobacterales	28221|Deltaproteobacteria	T	Bacterial regulatory protein, Fis family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_8,Response_reg,Sigma54_activat
OG0000010.UP000070043_KXH72335.1	555088.DealDRAFT_3077	9e-77	239.0	COG1024@1|root,COG1024@2|Bacteria,1TQ89@1239|Firmicutes,247RK@186801|Clostridia,42JIV@68298|Syntrophomonadaceae	186801|Clostridia	I	Belongs to the enoyl-CoA hydratase isomerase family	-	-	4.2.1.17	ko:K01715	ko00650,ko01200,map00650,map01200	-	R03026	RC00831	ko00000,ko00001,ko01000	-	-	-	ECH_1
OG0000012.UP000070043_KXH73361.1	96561.Dole_2557	3.88e-256	719.0	COG0318@1|root,COG0318@2|Bacteria,1MUMC@1224|Proteobacteria,42NT5@68525|delta/epsilon subdivisions,2WIWR@28221|Deltaproteobacteria,2MIK3@213118|Desulfobacterales	28221|Deltaproteobacteria	IQ	synthetase	alkK	-	6.2.1.3	ko:K00666,ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
OG0000013.UP000070043_KXH69745.1	338966.Ppro_0660	7.08e-10	63.9	COG2020@1|root,COG2020@2|Bacteria,1MWU6@1224|Proteobacteria,42X7G@68525|delta/epsilon subdivisions,2WSX9@28221|Deltaproteobacteria,43VJC@69541|Desulfuromonadales	28221|Deltaproteobacteria	O	Phospholipid methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	NnrU,PEMT
